Defect ID,Module,Summary,Priority,Assignee,Affect Version,Environment,Steps to Recreate,Expected Results,Actual Results,Status
,,,,,,,Login to the system.,,,
,,,,,,,Click on discount tab,,,
,,,,,,,Click on discount name.,,,
,,,,,,,The title of that page,,,
Ushop_047,Place orders,Missing some saved data and applied discount amount when move to next page.,Medium,,"V,0,0,1",Testing,Enter valid shop URL,," When click on the back button of the place order page, it directs to previous page. But the applied discount has removed. When click next again it has not saved the contact details and delivery details entered previously.",To do
,,,,,,,Login to the store,,,
,,,,,,,Add items to the cart,,,
,,,,,,,Click on cart.,,,
,,,,,,,Paste discount code and apply,,,
,,,,,,,Click next,,,
,,,,,,,Provide contact details and delivery details.,,,
,,,,,,,Click on back button,,,
,,,,,,,The discount code applied and the discount amount has been removed.,,,
,,,,,,,Click on next again.,,,
,,,,,,,The entered contact details and delivery details has removed.,,,
Ushop_048,Place order,The final pending amount of the order displays without deducting the discount amount.,Medium,,"V,0,0,1",Testing,Enter valid shop URL,,,To do
,,,,,,,Login to the system,,,
,,,,,,,add items to the cart.,,,
,,,,,,,click on cart,,,
,,,,,,,Apply discounts,,,
,,,,,,,click next.,,,
,,,,,,,Enter contact details,,,
,,,,,,,enter elivery details selecting the bank transfer as the payment option.,,,
,,,,,,,Click on next.,,,
,,,,,,,Check the pending payment amount inclued with pending payment etails,,,
Ushop_049,Manage item,"Edit item: successful edit of an item gives the notification ""Item created successfully.""
",Low,,V.0.0.1,Testing,Enter valid URL,,,To do
,,,,,,,Login to the system,,,
,,,,,,,Click on item name.,,,
,,,,,,,Edit item data,,,
,,,,,,,Click on submit button.,,,
